accuracy,precision,recall,f1
79.78782185876892,0.7355023109829053,0.6860954402241014,0.7028105720839848
79.7988728036247,0.7358234392294742,0.6857336740253748,0.7025901468957174
79.69941429992264,0.7341306229802652,0.6844878099069995,0.7011809392668665
79.72151618963422,0.7345785793154214,0.6844903678171133,0.701286070341383
79.72151618963422,0.7348124241341668,0.6836190594480328,0.7006224722594786
79.82097469333628,0.7362749808101312,0.6857362319354883,0.7026962943450762
79.78782185876892,0.7358554489642656,0.6847884776704808,0.7018223376413735
79.58890485136479,0.7326019562334217,0.6817158771876769,0.6985529262491248
79.6552105204995,0.7338841863196007,0.6820139870410445,0.6990853150075176
79.75466902420158,0.7355577368651919,0.683405069220933,0.7006120760959471
79.59995579622058,0.7330014608223772,0.6810636748659233,0.6980995027163077
79.74361807934578,0.7350288610109479,0.6844929257272268,0.7013911846183817
79.76571996905736,0.7356022877984085,0.6840598294528002,0.7011642706887643
79.71046524477843,0.7349277771160294,0.6823834269701121,0.6996230146763059
79.71046524477843,0.7348866550167541,0.6825286450316255,0.6997349333624816
79.6552105204995,0.7338841863196007,0.6820139870410445,0.6990853150075176
79.67731241021107,0.7344641330834412,0.6815808907666179,0.6988513920162691
79.71046524477843,0.7348866550167541,0.6825286450316255,0.6997349333624816
79.66626146535529,0.7341729669004584,0.6817974389038313,0.6989685985862761
79.6552105204995,0.7337660107142163,0.6824496412255847,0.6994206536143
79.56680296165322,0.7327726083965138,0.6793898302933489,0.6966467406397052
79.64415957564371,0.733999204029742,0.6807783545631239,0.6980780542007801
79.73256713449,0.7345196059786033,0.6855807822335205,0.7021623161722215
79.8099237484805,0.737367243938812,0.6813058021042728,0.6992394648501974
79.73256713449,0.7353469084788161,0.6825312029417391,0.6998382991480954
79.76571996905736,0.7361942564745828,0.6820267765916126,0.6995998821586265
79.47839540280694,0.7308722564277692,0.6796700347759213,0.6964700868924281
79.62205768593215,0.734041413064513,0.6790331799148495,0.6966126799303334
79.68836335506685,0.7342308681750805,0.6832521774290788,0.7001885891827466
79.58890485136479,0.7324897729171871,0.6821515313722171,0.6988878390506379
79.72151618963422,0.7345785793154214,0.6844903678171133,0.701286070341383
79.577853906509,0.732702502089458,0.6804802447097562,0.6975469884545693
79.6552105204995,0.7336116649328799,0.6830305134716383,0.6998660052475498
79.31263122997017,0.728491972063617,0.6756573537584507,0.6925849872792746
79.4341916233838,0.7301919133372707,0.6787936105866136,0.6955896515019653
79.50049729251852,0.7309584017873009,0.6811247733011689,0.6976954854574249
79.63310863078793,0.7340394286782432,0.67983315820823,0.6972904298471188
79.62205768593215,0.7341286179819255,0.6787427437918226,0.6963836103778329
79.45629351309536,0.7312707666007205,0.6764726795125129,0.6938560302346746
79.61100674107637,0.7334507383610271,0.6802662544826565,0.6975297229397803
79.55575201679743,0.7324424834488661,0.6797515964920756,0.6968801889597984
79.75466902420158,0.7367606056101974,0.6794841815600713,0.6975587920513733
79.45629351309536,0.7313534269611899,0.6761822433894861,0.6936244377172831
79.45629351309536,0.7310682885282913,0.6771987698200799,0.6944327055432553
79.38998784396067,0.7296563691060434,0.6773363141512524,0.6942509123483416
79.33473311968173,0.7289858636782147,0.6755146936070509,0.6925667549150062
79.50049729251852,0.7313993196869758,0.679382156563008,0.6963446823816242
79.36788595424909,0.7295785279330269,0.6758815756260048,0.6930021631153498
79.36788595424909,0.7306185890572126,0.6722511240881699,0.6900696354764324
77.6439385567466,0.7109773119665395,0.6123669838173007,0.6257474750958507
79.45629351309536,0.7303517075596817,0.6799579129888345,0.6965944179193952
79.35683500939331,0.7296021894242988,0.6749363792711108,0.6921994061163259
79.44524256823958,0.732637575946453,0.6713161593737303,0.6896188120674228
79.48944634766274,0.7311537260381749,0.679453486638708,0.6963509342261568
79.47839540280694,0.7318651340541273,0.6760395832380862,0.6936060437600549
77.3455630456404,0.7046690424930817,0.6063059024779609,0.6181460421128383
79.33473311968173,0.7301411152748549,0.6714485878846757,0.6892732397188364
79.2794783954028,0.7430230313559425,0.6434877162680622,0.6632878914500591
79.50049729251852,0.7328320697593775,0.6744447424715525,0.6924157544001579
77.36766493535198,0.7033408122049833,0.6102293480489362,0.6229779698974012
79.45629351309536,0.7321876904696467,0.6734231002207314,0.6913976713179903
79.50049729251852,0.7340201866696072,0.6709595089952309,0.6895486488873313
79.38998784396067,0.7315222687872831,0.6709467194446628,0.6890858372304952
79.14686705713339,0.7261880807284394,0.6712090185564399,0.6883013780173821
79.47839540280694,0.7325799658227552,0.6737160942538719,0.6917296802783797
79.64415957564371,0.7342943170143859,0.67976182813253,0.6972839885540685
77.26820643164992,0.7016253070058118,0.6073860852539137,0.6194575166941003
79.16896894684496,0.7274240322012367,0.6684524332977989,0.6861160162293152
79.37893689910487,0.7315412489601398,0.6701467411512823,0.6883757183138018
79.2794783954028,0.729584137480182,0.6693365312174473,0.6872976425142693
79.30158028511438,0.7289380495353651,0.6731147587269094,0.690496254670534
79.42314067852801,0.730796835486331,0.6756701433090188,0.6930719434011454
78.71588020775776,0.7198387006555145,0.6603403937264761,0.6774773347008731
79.22422367112388,0.7283909672074995,0.6692575274114066,0.6870090462799452
79.08056138799867,0.7256784595355044,0.6678613294112908,0.6852698177135195
79.18001989170074,0.7278186981778636,0.6679454490375588,0.6857357805081341
79.5115482373743,0.7336796841511958,0.6726307956576918,0.6909794646537089
79.2905293402586,0.7281842913123051,0.6750739236022835,0.6920250784746603
78.99215382915239,0.7234785137321572,0.669158060324457,0.6859888286227046
79.02530666371975,0.724873028110949,0.6664753630516295,0.6838902386053258
